"Olá","Oi"
"Oi","Tudo certo?"
"Tudo certo?","TD e vc?"
"TD e vc?","Melhor agora hehe {br} É de onde?"
"Melhor agora hehe {br} É de onde?","Vítor Meireles e vc?"
"Vítor Meireles e vc?","Rio do Sul"
"Rio do Sul","Faço faculdade ai"
"Faço faculdade ai","Que massa"
"Que massa","Uhum"
"Uhum","Faz adm né?"
"Faz adm né?","Simm"
"Simm","Também estudo na Unidavi {br} Faço Sistemas de Informação"
"Também estudo na Unidavi {br} Faço Sistemas de Informação","Sério? {br} Que massa {br} Quase fui pra facul d sistemas"
"Sério? {br} Que massa {br} Quase fui pra facul d sistemas","Meeee {br} Conhece a Gi?"
"Meeee {br} Conhece a Gi?","Gi?"
"Gi?","Conhecida minha que faz adm {br} Ta em qual semestre?"
"Conhecida minha que faz adm {br} Ta em qual semestre?","Vou pro segundo {br} Kkkk"
"Vou pro segundo {br} Kkkk","Humm {br} Ela já tá no quinto eu acho"
"Humm {br} Ela já tá no quinto eu acho","Kkk {br} Pode ser"
"Kkk {br} Pode ser","Já estamos de férias {br} Não precisamos ficar falando da faculdade {br} Kkkk {br} Oq vc gosta de fazer?"
"Já estamos de férias {br} Não precisamos ficar falando da faculdade {br} Kkkk {br} Oq vc gosta de fazer?","Kkkkkkkkk {br} De tudoo {br} De sair {br} Dançar {br} Beber {br} Ficar em casa {br} E vc?"
"Kkkkkkkkk {br} De tudoo {br} De sair {br} Dançar {br} Beber {br} Ficar em casa {br} E vc?","Também gosto de tudo hahahaha {br} Gosto mesmo é de sair com os amigos"
"Também gosto de tudo hahahaha {br} Gosto mesmo é de sair com os amigos","Kkkkkk {br} Isso mesmo"
"Kkkkkk {br} Isso mesmo","Nao acha melhor conversar pelo whats? {br} Então..."
"Nao acha melhor conversar pelo whats? {br} Então...","Kkk então"
"Oiee","Ooee"
"Ooee","Tudo certo?"
"Tudo certo?","Tudoo e ai?"
"Tudoo e ai?","Também {br} É de onde?"
"Também {br} É de onde?","Indaial e você?"
"Indaial e você?","Rio do Sul"
"Rio do Sul","Pertinho 🙊"
"Olá {br} Tudo bem?","Oi, tudo ótimo e aí?"
"Oi, tudo ótimo e aí?","Tudo tranquilo {br} É de onde?"
"Tudo tranquilo {br} É de onde?","ascurra e você?"
"ascurra e você?","Rio do Sul {br} Não tá afim de conversar pelo Whats? {br} Acho melhor {br} Então..."
"Olá","Oi"
"Oi","Tudo certo?"
"Tudo certo?","Tudo sim, e você?"
"Tudo sim, e você?","Tranquilo {br} É de onde?"
"Tranquilo {br} É de onde?","Lages {br} E vc?"
"Lages {br} E vc?","Rio do Sul"
"Rio do Sul","Humm"
"Humm","Tem quantos anos?"
"Tem quantos anos?","16 {br} E tu?"
"16 {br} E tu?","19"
"19","Oq vc faz?"
